Email Text,Email Type
"Microsoft Failure Delivery Notice.
  User: jose@monkey.org 
 3 pending sent messages couldn't be delivered 
 
 Action Required.    
How to Fix It. 
Click here to view undelivered sent email. 
 Created Date: 01. 12. 2022 
 
 
 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt.",Phishing Email
"Microsoft Failure Delivery Notice.
  User: jose@monkey.org 
 (3) pending sent messages couldn't be delivered 
 
 * Action Required.    
* How to Fix It. 
Click here to view undelivered sent email. 
 Created Date: 01. 13. 2021 
 
 
 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt.",Phishing Email
"Microsoft Failure Delivery Notice.
  User: jose@monkey.org 
 (3) pending sent messages couldn't be delivered 
 
 * Action Required.    
* How to Fix It. 
Click here to view undelivered sent email. 
 Created Date: 01. 18. 2021 
 
 
 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt.",Phishing Email
"New Voice Message
  New Caller left a message(s)
   
   New voice messages left in your office mail directory
  From:  1-888-345-0234
Date: 01-19-2022
Voice File: Play Voice Message (89kb)
Length: 00:29secs
  
   New Voice Directory",Phishing Email
"February 02, 2022	 	 
  	 	  
   	 	 	 	 	 
	 	 
  	 	 
  
 
   
  	 	 
  	 	 Schwab Notification: Action Required
  Do not Ignore

	 
	 
 
   	 	 

Dear Customer,

You have a new security message notifications from CHARLES SCHWAB

For security reasons. A Temporary Hold was Placed on Your Account due to Incomplete Review.  

Click now www.schwab.com  to read your Message notification and complete review.
Upon logging in, you may be asked to confirm your identity.

Thank you for the opportunity to serve you.

	 	 
 
   	 	 
 
   	 UNSUBSCRIBE	 PRIVACY	 MESSAGES	  LOG IN	 
 
   
  	 	 
  	 Independent investment advisors are not owned by, affiliated with or supervised by Schwab.

If you have any questions or concerns, please do not reply to this email. Please contact the Schwab Alliance team at 800-515-2157.

For your protection, we are unable to accept instructions to change your email address sent in reply to this message. To update your address using a secure channel, please log in to your account.

For your security, Charles Schwab will never request personal information through email.

Learn more about Schwab security practices, including the Schwab Security Guarantee.

NOTICE: All email sent to or from the Charles Schwab corporate email system is subject to archival, monitoring, and/or review by Schwab personnel.

Charles Schwab & Co., Inc., 211 Main Street, San Francisco, CA 94105

2022 Charles Schwab & Co., Inc.(""Schwab"") All rights reserved. Member SIPC.
(0117-0004) 99RAO",Phishing Email
"Microsoft Failure Delivery Notice.
  User: jose@monkey.org 
 (3) pending sent messages couldn't be delivered 
 
 * Action Required.    
* How to Fix It. 
Click here to view undelivered sent messages. 
 Created Date: 02. 03. 2021 
 
 
 Disclaimer: The content of this message and any attachments with it is intended only for the named recipients. Information contained in this message may be subject to legal, professional or other privilege or may otherwise be protected by other legal rules. If you are not the intended recipient you are not authorized to disclose, copy, distribute or retain this message or any part of it. If you have received this message in error, please notify the sender and destroy the original message. Any opinion expressed in this communication may be personal to the author and may not necessarily reflect the opinion of the IT manager. While we scan all emails, we cannot guarantee that any email is virus-free and accept liability for damages caused by any virus transmitted by this email.",Phishing Email
"|  |  |  |   
---  
****  
****  
---  
           
---  
           
---  
           
---  
Email Update Required  
---  
Your jose@monkey.org is out of Date,you won,t be able to send or receive new
messages.  
  
We Recommend you confirm your Account within 12 hours to avoid being
deactivated.  
---  
|  [ Confirm your
Email](https://alvistravels.com/http/q3biob2/reportupdatedwebmails/rkevbvkjvkt53t3/reportupdatedwebmails/index.html#jose@monkey.org)  
---  
  
  
monkey.org  
  
account team  
---",Phishing Email
"您好!
您的邮箱账号：jose@monkey.org，将在以下时间终止。

12:15 AM Thursday, February 10, 2022（中国标准时间）

注意： 请指出您是否仍在使用此邮箱。 

我仍在使用我的邮箱 https://google.com

请终止我的邮箱 https://google.com

邮箱系统",Phishing Email
"あなたのアカウントは停止されました

 
新しいデバイスからアカウントサービスへのサインインが検出されました。
誰かがあなたのAmazonアカウントで他のデバイスから購入しようとしました。Amazonの保護におけるセキュリティと整合性の問題により、セキュリティ上の理由からアカウントがロックされます。
アカウントを引き続き使用するには、24時間前に情報を更新することをお勧めします。それ以外の場合、あなたのアカウントは永久ロック。 

確認用アカウント 






© 2022 Amazon.com, Inc. or its affiliates. All rights reserved. Amazon, Amazon.co.jp, Amazon Prime, Prime およびAmazon.co.jp のロゴは Amazon.com , Inc.またはその関連会社の商標です。 Amazon.com, 410 Terry Avenue N., Seattle, WA 98109-5210",Phishing Email
"Hello
You received a file
  1 item, 3MB in total 0FB Expires in 25 minutes
   
   Get your file
  1 Item   
 PO-332-443.pdf | 3 MB",Phishing Email
