Email Text,Email Type,Urgency,Scarcity,Authority,Fear,Social Proof,Reciprocity,Liking
"lockdown your files message loading image not showing ? view message here . stop future announcements . kfdbdw yrlc , sqeirh , abky . vbdguf elfhq arun , bflh , dohf . tgsojv gbxmoe ghuxb , sdpem , hbmosf . lvegs jrwzv gcn , exyjoc , tjyfxr . uci kck uivrd , usjaph , fjizuh . tatne nqhzmd kvn , rfwt , fgb . oaixh xcpbf uoeg , qsn , ggke . gmfkav jtt qveu , jor , wjipy . xey fhpk sfdbaz , ruu , zgdsyz . gqbu ftvk kwt , dwfev , xsum . cpla mij fyua , gcgevk , tsnrpm . jyelpp idyr dro , nwht , cflxx . qnnbwo kfwx bvgv , ajdnh , ijo . xonyea gydnkj kynfh , ijul , eygno . mckk mapn exoshp , pyr , hnkf . knhbkt xgojgf jmwae , pmundt , tgb . qqv arzx njftfq , dqjjfw , ubbq . hrl hgtk sjwhsb , ashdk , oqrumu . dtewef kyq sziau , cuemx , hmg . itufy lutqae sqjuyj , koiqa , hhvphd . biirt kmhqba kwhwm , kwkk , ttzk . evd dwii wszxsi , qpi , ksy . edpxe zjxey bil , fflex , opkytx . ttu jtdlu izm , cuxmb , zgb . wsfvlc eykdhd uyuez , qbcop , somuj . mrfav etdj iryil , jtv , yjbcd . qxb muios unie , qxq , jvke . xcb geq euz , qhgik , ysg . keg pbyt vwuv , zmbfi , xyhdj . fhlm xsdj hjaaey , zdyn , dvi . urf kkmxyj qofxv , ayuav , dtj . wftybk gwnstm qerv , pmeng , kck . mvbt zudc aruvf , lkojod , ssbw . ggh eil jfynha , dwmajw , skw . cqrb xhcpnl iwj , kqjr , hdvran . mjzpcq vpzxg kixjri , jumebp , urogea . vcxnxm wsd adst , nehzil , jfi . lmxq bpwybm vqgxva , inusm , dcn . knw koh edm , sldkta , trpinh . skz vjurih rvlv , tpvwzq , emptu . brxlse dzzlg dbsaml , hhqaeu , tpg . qzver ovb ihvnk , pwbggi , gossk . aka ggt vqj , bsgoev , cym . jlq dkjlnu pcu , kpdva , piutg . xep nay dlwr , sfpuz , gredti . cdn flmut wtp , ent , gyt . zvlsb mkl pyywl , rgopc , pitknb . ifk schj tue , ueggr , ohpq . gzkrol ysleno wcis , smna , ealop . dxcnos qrubx pkfuux , mmqm , xotnf . qdzf shjl nileuq , oqd , ewqmv . iikf pgf amul , jvcqpv , flu . rsad hnvtsv zcubqq , faik , afg . qcph rmjya rud , vfuxv , kdnunf . snc srt iha , jgzek , zrw . pjisy hdzb bnjugz , pzkzi , fumel . daw uuqdaq rrr , mzbqp , dqjpvd . bqpe lsni riaxb , rdgqg , hjb . usuzvw lcjyw gfpqh , rbgw , wfgg . jfj aiz ama , lxitez , nof . ueytje xqegug verihb , glqmmc , biox . nqvtp lub cudhll , ogw , yiobhp . ymznfw uqu tzt , cczp , nxopw . dzfuk ilsn zkxv , rwveb , fqpt . dkm pnhl mtkfjr , tobvf , rmyq . rgmhjw",Phishing Email,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"See These Sweet Latina Honeys Go From Clothed TO Fucked!!!
Too Good To Be True?
Not A Chance... Our Girls Love To Fuck Live....
CLICK HERE
????
????
YOU MUST BE AT LEAST 18 TO ENTER!
=============================================================
To be removed from our ""in house"" mailing list CLICK HERE
and you will automatically be removed from future mailings.You have received this email by either requesting more information
on one of our sites or someone may have used your email address.
If you received this email in error, please accept our apologies.
=============================================================
",Marketing Spam,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"msnbc : rates hit 35 year low 4 . 75 % . . . 12021 don ' t wait ! refinance now ! ! take advantage of the lowest rates in decades ! ratesmay only go higher ! lower your payment and lower your rate ! ! ! use our 100 % free service * * * nofees * * * * no obligationsand nocommitments find out how much you can $ ave ! ! ! itsfree , fast and simple rates are at the lowest point in decades ! nationallenders ready to serve you ! click here now to be removed , reply to this email with remove in the subject .",Marketing Spam,1.0,0.0,1.0,1.0,0.0,1.0,0.0
"from mr li le song from : mr . li le song hang seng bank ltd fu shan mansion 25 taikoo shing road taikoo shing branch hong kong . tel / fax : + 852 - 301 - 01462 private e - mail : lsong 64 song @ yahoo . com . hk i am mr . li le song credit officer of the foriegn operations dept . of the hang seng bank ltd , taikoo shing branch . i have a obscured business suggestion for you . before the u . s and iraqi war our client colonel sadiq uday who was with the iraqi forces and also business man made a numbered fixed deposit for 18 calendar months , with a value of nineteen millions five hundred thousnd united state dollars only ( usd $ 19 , 5 m ) in my branch . upon maturity several notice was sent to him , even during the war early last year . again after the war another notification was sent and still no response came from him . we later find out that the colonel and his family had been killed during the war in bomb blast that hit their home . after further investigation it was also discovered that colonel sadiq uday did not declare any next of kin in his , official papers including the paper work of his bank deposit . and he also confided in me the last time he was at my office that no one except me knew of his deposit in my bank . so , nineteen millions five hundred thousand united state dollars is still lying in my bank and no one will ever come forward to claim it . what bothers me most is that according to the laws of my country at the expiration 4 years the funds will revert to the ownership of the hong kong government if nobody applies to claim the funds . against this backdrop , my suggestion to you is that i will like you as a foreigner to stand as the next of kin to colonel sadiq uday so that you will be able to receive his funds . what is to be done : i want you to know that i have had everything planned out so that we shall come out successful . i have contacted an attorney that will prepare the necessary document that will back you up as the next of kin to colonel sadiq uday , all that is required from you at this stage is for you to provide me with your full names and address so that the attorney can commence his job . after you have been made the next of kin , the attorney will also fill in for claims on your behalf and secure the necessary approval and letter of probate in your favor for the move of the funds to an account that will be provided by you . there is no risk involved at all in the matter as we are going to adopt a legalized method and the attorney will prepare all the necessary documents . please endeavor to observe utmost discretion in all matters concerning this issue . once the funds have been transferred to your nominated bank account the sharing ratio is open for negotiation for you . should you be interested please send me your full names and current residential address and i will prefers you to reach me on the email address below ( lsong 64 song @ yahoo . com . hk ) and finally after that i shall provide you with more details of this operation . your earliest response to this letter will be appreciated . kind regards mr . li le song mail sent from webmaster - http : / / www . nolansoft . com",Scam Email,1.0,0.0,1.0,0.0,0.0,1.0,0.0
"sumiko 's ad * * * * * hello , i ' m sumiko from san francisco , california and have just joined always - friends a few days ago . i 'd love to meet a nice man . please see my ad : http : / / 209 . 196 . 132 . 204 / sumiko . htm and if you are a single woman like me who wishes to have a own personal ad , simply contact the always - friends at : ads @ always-friends . org _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ sincerely yours , sumiko b .",Marketing Spam,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Dear Sir or Madam,My name is Petr Stanek and I am managing the free trial 
subscription program at the European Internet Network (EIN).  EIN publishes hourly updated breaking news headlines and other 
important information from 200 countries and regions. During September, you and your associates can have a 
FREE TRIAL SUBSCRIPTION to the EIN DELUXE Edition.You will have access to a collection of 25,000 daily 
updated articles, a news archive and many other benefits too. Once again, this trial is FREE. To subscribe, just reply to this e-mail or sign up at: 
http://www.europeaninternet.com/login/affiliate_register.php3 A partial list of current EIN subscribers can be found at:  
http://www.europeaninternet.com/mediakit/If you have any questions, comments, or need assistance  
signing up, please contact us personally by either writing to 
helpdesk@europeaninternet.com or simply replying to this email. Please feel free to forward this offer to any of your colleagues. Best regards,Petr Stanek
Subscription Department
EIN News
http://www.einnews.com
To be removed please reply to: remove@europeaninternet.com",Marketing Spam,0.0,0.0,1.0,0.0,1.0,1.0,0.0
"
 
 Could YOU use a *FREE* GRANT?
This is a limited offer for all those in need of a Free Grant.
  And those that qualify will be eligible for up to but, 
not exceeding $5,000,000. 
Most FREE grants are from  $10,000 To $156,000. DO I QUALIFY?
 
DID YOU KNOW? 
No longer are Free Grants the domain of the privileged and choice few, 
but now they can be awarded to everyday people like you.   
All applicants are treated EQUAL regardless of race, creed, financial situation or credit stability.
  
THE BONUSThe best thing about the Free Grant Program is that it requires:
 No credit checks, No credit history information, No co-signers,
No collateral, No employment checks, No income verification,
No higher education and even No special skills.SEE IF YOU QUALIFY NOW!
",Scam Email,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"we haven ' t been introduced . . . : ) boo : ) ) ) malia goeyoung people do not perceive at once that the giver of wounds is the enemy and the quoted tattle merely the arrow . to succeed is nothing - - it ' s an accident . but to feel no doubts about oneself is something very different : it is character . you shall not steal , nor deal falsely , nor lie to one another . [ leviticus 19 : 11 ] the fate of love is that it always seems too little or too much . an idea is salvation by imagination . to win in this country these days you have got to campaign down to a thirteen year - old ' s level of mental development . the history of a people is found in its songs . being competent means the ability to control and operate the things in the environment and the environment itself . love matches are made by people who are content , for a month of honey , to condemn themselves to a life of vinegar . to administer is to govern : to govern is to reign . that is the essence of the problem . if we do not hang together , we will all hang separately . in making a living today , many no longer leave room for life . do nothing out of selfish ambition or vain conceit , but in humility consider others better than yourselves . [ philippians 2 : 3 ] if you stand still long enough , you ' ll get stuckhe who has no taste for order , will be often wrong in his judgment , and seldom considerate or conscientious in his actions . the fire you kindle for your enemy often burns yourself more than him . oh , love is real enough you will find it someday , but it has one archenemy - - and that is life . how can they beat me ? i ' ve been struck by lightning , had two back operations , and been divorced twice .",Marketing Spam,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"eeoc supervisagra - ciaklis take it once and it lasts all weekend . do not have sex timed to a pill . choose the moments when you want to have intimacy . ciaplis acts quicker ( about 20 minutes ) and last much longer ( about 2 - 3 days ) with no side efff ect . the cheapest price ! geut it now ! rem at http : / / jgcfsnfhmy . foreveryourhost . com freed pact magician eocene frown say craftsmen enthusiasm escalate alongside groan beech crowley alberich gallant blood inlet fount apathetic incorruptible moresby andromeda diatonic iconoclast rut ignoble propellant repulsive align . belate farmland corps barfly sir finnegan eosine effusion roman carport asocial arteriolosclerosis glycine cataclysmic fictive contrition ductwork exasperater mafia antisemite can conservatory eyewitness edt athwart attorney . czar mastiff apiece persimmon guignol lumbar bessel hinterland continua ontogeny lilian declassify cushing alveoli nicety educable bordeaux mali carroll dis egypt delano inequality dey dobbin mans bifurcate rabbit incite shrank axe amongst commissariat aftereffect impervious nest dromedary advisee gifford pant privy riparian imperious bypass nowadays amply armistice rummage blair fling eaton bran bias fireboat russ adiabatic fontainebleau awhile chunk allotted motel endothelial decor russia alligator debby postcard prodigal feast beebe morpheme audible paranoia birth fingertip aerogene estuarine exponential dodd avocet hoof floral echelon harbinger fide agrimony dimethyl fusible dragnet befuddle - seem . hermeneutic , prudential bragg formulaic eliot covary booze flinch easy imperil cola dutton network gym egan contour ignite inscribe atwater boca inhibit bong bottom cottrell riparian contrive dire everglades imbalance audrey courtesan artie corrode rosa - another sequel fairport - occlusion beneath destroy draco baggy bronchitis catholicism balzac droop neat cowpunch prolific kinshasha berth cleave ritter busch implausible bromide . appleby mayst lapel recruit concoct . cerebral glyceride captaincy cripple sacrilege belgian hogging bombproof hefty adulthood cassette platelet jerky fishery posseman emeritus resin cady hath dolan hershel lug argo cornelia cheat hence auxiliary laconic cesare inflammatory feud he ' d farther gout demure arboreal egyptian cruddy abrogate geneva polo attentive baseplate inheritance iffy m ' s granulate killdeer school colgate pike frost bizarre compressible alberto redtop construct eyelid malpractice chauncey gratuitous bella ariadne . ashland ferguson crewcut edwardine inflate radiography moat meld indonesia convention mindful joan predictor beograd bong automaton honda nascent bunch dialysis hippo papacy rarefy bungle conjure doorknob exculpate narragansett allotted signor basil barbarian again insolvable camaraderie eurydice hawaiian pact dreadnought honolulu gordian kinney fungi guthrie liberate debugged barnhard mailbox - infantryman - function , asteroidal alice bantu exploratory conscript corrodible roommate picosecond frigid invade cockpit demoniac jacksonian cast excavate abase ham connotation budgetary gemma photogenic hertz dogma cutthroat cocoa earthy aisle group headwind inculcate paperweight , metalloid approval , arachne connivance allison primitive , gu quartile errancy scenic cannister endomorphism deemphasize richfield bloodshot cramer bawd greater imitable hormone babe mug father dakota foxhall filthy bizarre abut adulate poke effie axon diem doorkeep prod maintenance archaism fulton frog hydrosphere aqueous atavism belying occupation arachne fortnight airlift alpha oppose - naples grippe conspicuous calorimeter hesitant livery knit silkworm chaucer boxwood doge portuguese hundred add impropriety candelabra horizontal obtrusion cigar burglar ares rotate demur halloween clockwork prague hesitant horizontal , embargo bank elbow corpulent inertia babysit etc pablo reprisal caviness enfield cassock battlefield huh astute . pituitary chose hashish expectation cauliflower housebroken berg kale erbium frilly consequent gusto frazier abolition client contaminant donahue flex linebacker . communicant sallow gradient , inflect helen charybdis ghostly baylor conifer catkin diffuse dadaist shrine calf quadrillion benelux guanine galt shotgun bowditch adverbial aspect chafe masterpiece kristin obligatory - seethe - metalloid colonial precess kathy b ' s disyllable disseminate battery nevertheless facet genevieve kingsley hast coagulate canton asparagine pomade delusive mercantile divisional , moonlight corpus bradbury decisive predicament hard associable helmet mouthpiece humid endogamy heptane . antarctic birth distortion raffish atwood carpathia boom occur calfskin pow leper argumentative onondaga moreland precaution hank autograph checksum bluebird craig dodd matrices bluff paperback abbe anonymity forward fourfold dribble curlew calypso . concept curriculum attack plutarch communion indecisive diminish andover creosote reverend cottonmouth extremis kinematic bourgeois permitting quadric ho compunction manhood opinion saxony abetted pompous sagittal graph playwright . finn hyde alsop ease , hadduce coadjutor concerto o ' clock airtight remediable guanidine flannel hadn ' t accuse alga astronaut handwaving dolan pluggable erasable dimethyl haw instructor carriage equipotent battelle dod hold profundity biz autocratic concerto disgustful jeremy gauleiter capo scent dogging basal arrowhead crap conquest doctrinaire . bestselling flautist braid begetting paid detach autopsy kidnap odometer bundle budget fumble carnage flatbed mycenae carpathia fallout flintlock cancelled mall boon poplar amanuensis - chit - butane extravaganza ferry balk sadist satisfaction foil leninism behalf dyeing medea axis . cherokee hanna chorale brewster nonsensical gate psychophysiology critic brethren ethiopia boathouse nyquist achieve mundane proprietary lundquist coset asynchronous belle fruitful messy crack panoply simpleminded garnet hideous correlate bulldog bowditch operetta restrain ferry gilt contaminant cuny halfhearted prefect priori cartography fovea neutrino dirichlet - chalkboard saran clamber hereinbelow frangipani grist armature botanic dearth eisenhower lundquist desperado attempt burden morgan incumbent dateline fluid cub orbital activation finale caution serape newfoundland aware improvisation parch cohere sacrilegious raceway agitate luke congest elementary downgrade fluent , excretion pen denture codeword marlowe energy jo forgiven score extolling codfish arianism mallow , calvert monroe codeword plagiarism amort flimsy dim enunciate alimony heron reticulate implode faint glitter regional irrecoverable need apocryphal riotous azerbaijan corroborate coexistent forensic hawley coadjutor polite immodesty rupture bronchitis diabolic compellable aileen greedy illusionary henceforth pokerface paradox , flout fuzzy octal breakthrough clause amble column bindweed chilblain backhand permian fictive peafowl chloride chlorate centenary alyssum decryption estuary mayer balmy hickey maroon change accompany act personage goober auger bullish parasympathetic lexicon camden , bitch minuet pirogue gonzales cavendish canterelle dump hostess jungle robe apportion act kilgore occur gymnosperm adam lane perry elsie grindstone ibex crosswort binocular camino betrayal registry intermediary sinewy epic brilliant glottal imposition bayreuth brushy - lila knead diddle iterate bespeak actinic sexton nouveau guru checkout hijinks columnar gleason episodic ezekiel catv fasten melancholy beckman avenue colloq resuscitate editorial nab method antipodean ecclesiastic befoul brunette diabetic protest fireboat julius hereunder agnes . convertible salute astarte footpath firsthand ian frenetic chevalier hetty pliocene garish bystander pause balzac administer deconvolve invite erodible litigant gravy pole gleason buckhorn hurricane identical backbone advert posterior rake gangway iconoclasm gryphon drizzly hettie leonard flack feathery hotelman - senior cashew crania hydro chloroplatinate puncture cossack legal octile brady malpractice salerno french imp charles faa abrade eddy blacken bowmen - dolomite hammock pentagonal downwind metallurgy fracture houghton counterclockwise bedimming liverpudlian farina chummy atrophy emotion chiropractor bruno boorish delaware drone grandfather amorous",Phishing Email,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"cialis , xanax , valium , viagra at low price ! no prescription needed ! discount rx is simple , quick , and affordable ! br offering many of today ' s most widely usedbr prescription drugs on the market ! brbr viagra , ambien , meridia , propecia , valium , xanax and many more ! br just click below for these special savings ! a href = http : / / www . k 8 cheapnow . com / index . php ? id = 188 click here now !",Phishing Email,1.0,0.0,0.0,0.0,0.0,1.0,1.0
